id, name, image, sensor, focal_length,aperture,weight
1,SIGMA fp,cb1.png,35.9 x 23.9 mm Full-Frame Back-Illuminated CMOS Sensor,,,422g
2,Voigtlander Heliar 40mm F2.8 Aspherical VM,cl1.png,,40mm,F2.8,131g
3,LUMIX S 28-200mm F4-7.1,cl2.webp,,28-200mm,F4-7.1,413g
4,TTartisan 50mm F2,cl3.png,,50mm,F2,200g
5,7Artisans 35mm F5.6,cl4.png,,35mm,F5.6,155g
